cath_id,count
3.40.50.11350,2
1.25.40.290,9
3.30.310.10,15
6.10.140.1960,12
1.10.287.1050,6
1.10.8.10,24
1.20.5.10,2
1.20.58.150,30
1.20.5.1700,27
3.60.110.10,1
2.60.220.10,2
2.40.30.110,2
1.20.58.1370,3
1.10.8.50,6
2.60.120.1200,2
1.20.50.20,12
3.30.1330.30,8
3.40.1280.10,4
1.20.5.4880,30
1.10.132.20,80
2.80.10.70,1
1.20.920.60,6
1.20.58.1740,1
1.10.287.740,11
3.30.450.70,9
3.30.450.30,9
3.40.50.1980,5
3.10.390.10,5
1.25.40.610,15
6.10.250.1980,3
1.10.220.150,21
3.30.1550.10,2
1.10.10.250,1
1.10.150.630,5
3.30.479.30,6
1.10.1240.60,7
1.10.167.10,29
3.30.1490.300,1
1.20.5.230,1
2.60.40.2160,2
3.30.2020.30,2
3.60.130.10,1
1.20.58.2200,3
2.10.110.20,3
1.20.5.80,9
1.10.287.370,8
2.102.10.10,4
1.25.40.270,1
2.40.30.180,3
1.20.5.2280,9
6.10.250.3020,6
1.10.287.2900,2
2.60.120.330,3
3.90.110.10,8
3.40.50.11530,1
6.10.250.1350,9
1.20.5.990,22
1.10.1240.30,6
2.60.40.3510,5
2.170.300.10,9
1.20.150.10,7
2.60.40.3930,5
2.60.220.50,25
1.10.275.10,3
1.10.40.30,1
3.40.5.120,2
1.10.287.3700,1
2.70.170.10,14
3.30.310.80,8
2.60.40.2440,4
2.170.260.10,6
3.30.420.230,5
1.20.58.1660,8
2.60.40.1730,11
1.10.390.10,7
6.10.250.970,3
2.60.40.1080,12
2.60.40.3110,17
2.60.40.2660,18
3.10.50.40,26
1.25.40.900,2
1.10.287.510,8
1.20.1160.11,2
1.20.120.330,42
1.10.287.1490,25
1.10.287.810,15
1.20.5.5160,3
1.10.287.670,12
2.60.120.1680,2
1.20.120.390,3
2.60.120.560,13
1.20.5.70,1
3.30.460.10,30
3.30.1360.70,3
3.30.70.1890,3
2.60.40.3210,8
2.60.40.4100,9
1.10.3760.10,1
2.40.50.100,14
3.30.559.10,2
3.10.580.10,13
3.40.50.1460,14
3.30.70.1440,9
3.90.290.10,25
2.20.25.240,3
3.30.70.1320,3
1.20.1270.250,3
2.60.40.50,1
1.10.10.2670,1
3.40.50.1110,6
3.10.260.20,6
1.20.5.2210,11
3.10.490.20,4
2.10.10.10,8
2.60.290.11,2
3.40.1310.20,1
2.60.120.590,7
3.30.43.10,4
3.30.465.10,3
3.30.70.3450,2
3.90.1720.30,1
3.40.30.40,2
1.10.10.1200,4
3.30.2160.10,10
3.30.70.120,3
6.10.140.160,13
1.20.5.1940,5
6.10.250.2890,4
3.40.50.360,17
1.20.58.690,9
3.10.330.20,2
3.30.70.1430,6
3.30.540.10,7
3.40.190.80,6
2.30.30.30,20
1.20.1280.130,2
1.20.58.1970,7
6.10.140.1010,3
6.10.250.1520,2
1.20.5.2700,3
1.10.10.1630,1
3.40.190.10,40
3.20.90.10,4
1.20.5.270,5
3.40.640.10,19
1.20.1280.50,4
3.40.50.11260,5
1.20.120.790,3
6.10.250.780,7
1.10.1410.40,5
1.10.10.570,3
3.10.450.50,13
3.40.50.12480,13
3.90.640.90,5
2.20.90.10,12
2.20.50.20,33
2.60.40.1230,15
1.10.555.10,23
3.30.70.3300,2
1.20.940.10,3
3.30.1050.10,5
1.20.5.730,11
3.40.50.12060,5
1.10.8.740,2
2.60.40.2950,1
6.10.140.1760,2
2.20.25.30,1
2.60.40.1170,19
1.10.1760.20,1
3.30.450.190,3
3.30.2010.10,2
1.20.120.10,6
1.20.1550.10,1
2.30.38.10,9
3.30.300.30,27
1.20.5.4010,8
1.10.225.10,8
3.40.50.280,7
