cath_id,count
3.40.1080.10,3
3.10.420.10,1
1.10.1220.10,7
3.90.870.10,2
3.30.420.360,1
2.40.50.650,1
2.40.50.480,1
3.90.470.10,1
3.30.920.30,1
3.40.50.2020,7
1.20.81.10,2
1.10.150.80,3
2.40.420.20,2
2.40.30.170,5
1.20.5.5260,3
1.10.150.250,1
3.40.630.40,3
2.60.40.1410,2
1.20.58.60,3
1.20.120.740,1
3.90.1380.10,1
1.10.287.650,3
3.100.10.20,1
1.20.120.920,1
1.10.400.10,1
1.20.1270.310,1
3.40.50.2030,2
3.30.70.980,3
2.60.40.790,1
3.20.20.450,3
1.10.10.600,1
3.40.50.170,4
3.10.25.10,2
2.60.40.2760,1
3.30.1360.40,4
2.40.100.10,4
3.30.70.920,4
3.20.80.10,3
1.10.287.880,2
2.60.40.2610,3
3.90.110.10,2
3.30.920.10,2
3.30.70.150,1
1.10.287.1490,4
3.40.366.10,1
3.20.20.370,3
3.90.220.20,2
1.20.120.350,1
3.30.365.10,6
2.40.240.130,1
1.20.5.370,2
2.30.30.570,1
1.20.5.300,2
3.40.50.11540,1
3.90.78.10,1
3.10.450.460,1
1.20.120.340,1
3.30.1120.50,1
3.40.1760.10,1
3.40.1500.10,1
1.10.10.1020,1
1.20.225.10,1
3.40.120.10,6
1.20.120.650,1
1.10.1780.10,2
3.90.1150.30,1
3.40.140.10,8
1.10.287.1150,1
3.40.50.12470,1
3.40.50.920,6
3.40.50.410,4
1.20.5.100,2
3.40.80.10,2
3.40.50.1360,5
1.20.1440.20,2
3.20.20.10,5
3.30.420.150,2
1.10.3210.10,3
1.20.58.590,1
1.10.225.40,1
1.20.58.90,7
3.40.50.12700,1
3.30.230.40,3
2.40.170.20,3
2.60.40.1470,1
2.30.170.30,1
1.10.220.70,1
6.10.140.240,1
3.30.1550.10,1
1.10.10.250,1
3.30.530.20,2
2.30.30.90,1
3.40.1410.10,6
1.10.230.10,2
1.10.4000.10,1
1.20.120.640,1
3.40.1010.10,2
3.30.950.10,2
3.30.70.400,2
1.20.58.710,1
1.20.58.1000,5
3.30.1390.20,1
3.30.2350.10,4
1.20.5.1190,1
3.40.220.10,2
1.10.287.3440,1
3.40.50.1260,2
3.20.190.10,2
3.40.1780.10,1
2.40.10.240,1
3.30.300.100,1
2.40.50.320,1
2.60.40.1700,1
1.10.12.10,4
2.20.25.110,4
2.30.33.40,1
3.30.250.10,1
3.30.750.210,2
3.30.750.200,2
3.40.109.10,2
3.90.930.1,2
2.20.220.20,2
2.20.130.30,1
3.40.50.10660,2
2.40.10.10,2
3.50.30.80,3
1.25.40.650,1
1.20.5.3070,2
1.20.5.740,2
3.40.50.9100,1
1.20.5.1180,2
2.40.230.20,2
3.30.1240.10,6
3.60.20.10,3
1.10.10.2240,1
6.10.140.2020,1
3.30.1440.10,1
1.20.1330.10,4
2.170.280.10,1
2.30.220.10,1
6.10.250.1700,1
1.20.5.460,8
3.30.70.890,2
2.60.40.1620,1
1.20.970.10,3
3.90.1170.30,1
2.30.38.10,2
1.10.486.10,2
1.10.60.30,1
3.30.160.150,1
3.40.367.20,1
3.30.70.2260,1
1.10.287.750,3
1.10.8.380,2
2.60.40.1730,1
2.30.140.10,1
1.20.5.1060,2
1.10.150.160,1
3.40.50.80,7
2.40.40.10,1
2.40.240.50,1
1.20.5.1930,9
3.30.1890.10,3
1.10.210.20,1
1.10.150.170,1
3.10.20.310,5
6.10.280.110,1
1.20.225.30,1
3.30.9.40,1
1.10.287.560,1
2.30.29.30,1
6.10.10.50,1
3.40.1350.10,2
3.30.70.560,1
3.30.720.110,5
2.60.120.260,5
2.70.98.30,1
1.10.287.1050,2
1.10.40.60,1
3.30.1330.120,1
3.90.600.10,2
3.30.160.600,1
3.30.1910.10,1
3.40.50.10610,1
1.10.8.130,3
2.40.10.170,1
1.10.1140.10,1
6.10.250.2410,2
3.40.50.1980,10
1.10.620.20,2
1.10.10.1270,2
3.10.20.810,1
1.20.1380.10,1
3.30.70.240,5
3.30.160.220,1
3.30.1330.90,4
3.30.70.3040,1
1.20.1270.350,1
1.10.8.100,1
3.10.350.10,5
3.40.980.10,4
3.30.70.2860,1
3.30.70.870,1
6.10.250.1960,10
2.150.10.20,1
3.30.1280.10,1
3.90.1030.10,1
3.90.940.10,1
1.20.120.550,2
3.30.390.50,4
3.90.700.10,3
1.20.58.100,2
3.40.190.290,5
1.10.10.1100,1
3.90.100.10,4
2.60.40.350,1
2.60.40.3880,1
2.60.40.1080,1
3.10.100.10,1
3.30.413.10,4
3.30.1330.40,3
2.60.15.10,1
1.20.5.440,2
3.10.50.30,3
3.30.70.1890,1
1.10.472.50,1
3.40.50.1110,1
1.10.150.190,2
3.30.70.250,2
2.20.70.10,1
2.30.30.40,4
2.30.29.80,1
1.10.287.380,2
6.10.250.2820,1
2.115.10.20,2
3.90.800.10,2
1.10.1160.10,2
2.40.240.10,2
3.80.10.10,1
3.40.50.10160,1
3.30.310.240,1
3.30.160.690,1
1.20.1280.40,2
3.90.730.10,1
3.30.1380.10,2
6.10.280.80,3
2.30.22.10,1
2.60.120.650,1
3.40.366.30,1
1.20.5.400,4
1.25.60.10,2
1.25.10.10,2
2.20.200.10,2
3.90.740.10,3
1.10.730.10,2
1.20.1260.30,1
6.10.250.3000,1
3.30.1370.30,1
3.30.1490.10,1
2.60.40.2220,1
1.10.1790.30,2
3.30.63.10,1
6.10.140.470,1
1.10.166.10,1
1.10.1500.10,2
3.20.20.30,2
1.20.120.20,2
3.40.50.11690,1
2.40.10.330,2
3.40.1440.60,1
2.40.128.110,1
3.30.2130.30,2
3.30.1600.10,1
3.20.20.380,1
3.40.50.1970,8
1.20.1090.10,6
2.40.50.660,1
2.170.150.20,1
3.20.20.220,2
6.10.250.2890,2
2.40.128.20,2
2.20.28.120,1
3.30.70.2660,1
3.30.70.1450,3
2.30.130.110,2
3.40.50.960,1
3.40.1440.10,2
3.30.420.340,1
3.30.70.1710,6
1.10.287.740,2
1.10.520.10,1
1.10.420.10,1
3.90.45.10,1
2.40.30.260,1
1.10.720.30,1
1.20.5.2620,1
3.40.430.10,2
1.20.120.230,4
3.30.1360.70,1
6.10.250.1290,2
3.10.450.40,2
1.10.3620.10,1
3.90.1440.10,1
1.10.3060.10,1
1.10.132.60,1
1.20.120.930,1
1.20.120.620,1
1.20.5.4730,1
3.90.1170.50,1
3.40.50.11930,3
3.30.1460.40,1
1.20.5.1010,2
3.30.300.130,2
3.40.50.10420,1
2.10.70.40,1
2.40.180.10,1
3.40.50.10150,1
3.30.160.140,1
3.40.50.11120,1
3.30.1450.10,1
6.10.140.440,3
1.10.287.940,3
1.20.5.1450,2
3.30.40.10,1
2.60.40.2400,1
1.20.890.10,2
1.20.5.790,2
3.10.490.10,1
2.40.30.110,3
1.25.40.290,1
2.40.10.120,2
3.40.50.40,3
1.20.120.1460,1
1.20.58.860,1
2.40.10.220,2
3.30.70.2970,1
3.20.20.100,2
1.10.10.980,1
3.40.830.10,2
4.10.280.20,1
4.10.180.10,1
2.40.128.500,1
3.40.50.1170,2
3.10.20.70,2
3.40.1550.20,1
3.30.750.24,4
3.90.1170.40,1
1.20.120.1070,1
3.30.2420.10,1
1.20.1050.40,1
1.20.120.1200,1
1.20.58.830,1
1.10.2020.10,1
2.60.120.380,1
3.90.280.10,2
3.30.429.10,1
1.10.150.120,2
3.30.2390.10,1
1.20.58.360,1
3.50.30.30,1
3.20.10.10,2
1.10.287.40,5
1.20.5.960,1
2.60.40.1120,3
1.20.20.10,2
1.10.287.950,1
1.20.5.3600,1
2.60.410.10,2
1.20.120.1310,1
3.40.50.12780,1
3.30.70.3360,1
3.80.30.10,2
3.40.1630.10,1
6.10.250.2330,1
3.40.50.1370,8
3.50.80.20,1
6.10.250.1190,1
1.10.60.10,2
1.20.58.440,1
3.90.79.20,1
3.55.40.20,2
3.30.540.10,6
3.40.190.80,3
2.50.20.10,2
3.40.1620.10,2
2.170.220.10,1
3.90.780.10,2
3.40.440.10,1
1.10.300.10,1
3.90.170.10,1
3.30.160.70,1
6.10.250.1020,1
1.10.472.10,1
1.20.58.1910,1
3.20.20.210,1
3.40.50.10800,2
3.90.1280.20,1
1.10.1020.10,1
2.60.40.640,2
1.20.200.10,2
3.40.1390.20,1
3.40.50.10950,3
3.10.105.10,3
1.20.1050.90,1
1.10.890.10,2
3.30.30.30,1
2.60.34.10,3
3.30.160.110,1
1.20.120.50,1
3.30.230.30,1
1.20.5.240,1
3.30.70.1430,2
3.30.2320.50,1
1.10.940.10,2
1.10.1710.10,1
3.40.10.10,1
1.20.5.1610,1
1.20.5.490,2
1.10.10.2150,1
6.10.250.820,1
3.30.720.90,2
1.20.1640.10,4
3.30.70.2040,1
3.40.50.2060,2
2.20.28.290,1
3.10.20.590,1
1.10.3390.10,1
3.40.50.1440,1
3.40.50.11180,1
3.90.1150.50,1
1.20.5.50,1
1.20.144.10,1
3.30.2310.40,1
3.90.640.10,2
3.40.50.11950,1
2.60.40.200,1
1.10.40.30,2
1.20.58.1290,1
4.10.230.10,1
1.25.40.70,1
2.30.30.370,1
1.10.400.20,2
3.30.1360.80,1
3.40.50.10350,2
3.90.1510.10,2
1.10.287.1260,1
2.60.120.340,3
2.30.110.20,1
2.30.24.10,1
1.10.1790.10,1
3.30.300.250,1
2.30.30.280,1
3.40.50.10580,1
2.40.30.20,3
1.20.150.20,1
3.40.1140.10,2
1.10.287.500,1
6.10.250.950,1
1.10.1660.20,1
1.10.132.30,1
4.10.280.50,1
1.10.10.930,1
3.40.50.180,1
1.10.150.290,1
1.10.1740.10,2
3.30.1130.10,4
3.30.70.640,1
3.90.1150.160,1
1.10.287.1130,1
2.130.10.10,1
3.30.70.1250,1
6.10.140.630,1
3.30.70.1070,2
3.40.470.10,1
1.25.40.770,1
3.90.190.10,1
2.20.90.10,1
1.10.3600.10,1
3.40.1110.10,4
1.10.287.160,2
